sessao,minuto,comando,motivo
1,0,SOLAR_TOTAL,sol cobre toda a recarga
1,155,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
1,160,SOLAR_TOTAL,sol cobre toda a recarga
1,175,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
1,195,SOLAR_TOTAL,sol cobre toda a recarga
1,210,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
2,0,REDE_POTENCIA_REDUZIDA,"sem sol, recarga mais leve na rede"
2,435,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
2,470,REDUCAO_TERMICA,temperatura acima de 45 C
2,625,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
2,630,SOLAR_TOTAL,sol cobre toda a recarga
2,635,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
2,650,SOLAR_TOTAL,sol cobre toda a recarga
2,655,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
3,0,REDE_POTENCIA_REDUZIDA,"sem sol, recarga mais leve na rede"
4,0,SOLAR_TOTAL,sol cobre toda a recarga
4,20,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
4,25,SOLAR_TOTAL,sol cobre toda a recarga
4,30,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
4,35,SOLAR_TOTAL,sol cobre toda a recarga
4,65,REDUCAO_TERMICA,temperatura acima de 45 C
5,0,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
5,75,REDUCAO_TERMICA,temperatura acima de 45 C
5,130,REDE_POTENCIA_REDUZIDA,"sem sol, recarga mais leve na rede"
6,0,REDE_POTENCIA_REDUZIDA,"sem sol, recarga mais leve na rede"
6,495,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
6,505,REDUCAO_TERMICA,temperatura acima de 45 C
6,640,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
7,0,REDE_POTENCIA_REDUZIDA,"sem sol, recarga mais leve na rede"
7,255,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
8,0,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
8,130,SOLAR_TOTAL,sol cobre toda a recarga
8,145,HIBRIDO_SOLAR_REDE,"sol parcial, rede complementa"
8,150,SOLAR_TOTAL,sol cobre toda a recarga
8,195,REDUCAO_TERMICA,temperatura acima de 45 C
8,240,SOLAR_TOTAL,sol cobre toda a recarga
