sessao,minuto,hora,solar_kw,potencia_kw,temp_c,soc,comando
1,5,11.0,7.84,7.4,27.5,25.9,SOLAR_TOTAL
1,10,11.08,7.69,7.4,28.9,27.8,SOLAR_TOTAL
1,15,11.17,8.75,7.4,30.4,29.6,SOLAR_TOTAL
1,20,11.25,9.81,7.4,31.3,31.5,SOLAR_TOTAL
1,25,11.33,8.39,7.4,32.3,33.4,SOLAR_TOTAL
1,30,11.42,9.59,7.4,33.2,35.3,SOLAR_TOTAL
1,35,11.5,8.25,7.4,34.0,37.2,SOLAR_TOTAL
1,40,11.58,7.72,7.4,34.6,39.0,SOLAR_TOTAL
1,45,11.67,7.82,7.4,35.6,40.9,SOLAR_TOTAL
1,50,11.75,8.5,7.4,36.2,42.8,SOLAR_TOTAL
1,55,11.83,9.96,7.4,36.8,44.7,SOLAR_TOTAL
1,60,11.92,8.41,7.4,37.6,46.5,SOLAR_TOTAL
1,65,12.0,8.25,7.4,38.4,48.4,SOLAR_TOTAL
1,70,12.08,9.75,7.4,38.8,50.3,SOLAR_TOTAL
1,75,12.17,9.8,7.4,39.1,52.2,SOLAR_TOTAL
1,80,12.25,8.5,7.4,39.5,54.1,SOLAR_TOTAL
1,85,12.33,9.84,7.4,39.9,55.9,SOLAR_TOTAL
1,90,12.42,8.02,7.4,40.5,57.8,SOLAR_TOTAL
1,95,12.5,8.99,7.4,40.7,59.7,SOLAR_TOTAL
1,100,12.58,7.59,7.4,40.7,61.6,SOLAR_TOTAL
1,105,12.67,8.31,7.4,40.9,63.5,SOLAR_TOTAL
1,110,12.75,8.94,7.4,41.3,65.3,SOLAR_TOTAL
1,115,12.83,9.5,7.4,41.4,67.2,SOLAR_TOTAL
1,120,12.92,9.15,7.4,41.4,69.1,SOLAR_TOTAL
1,125,13.0,8.43,7.4,41.8,71.0,SOLAR_TOTAL
1,130,13.08,7.9,7.4,41.9,72.8,SOLAR_TOTAL
1,135,13.17,7.4,7.4,42.2,74.7,SOLAR_TOTAL
1,140,13.25,9.0,7.4,42.1,76.6,SOLAR_TOTAL
1,145,13.33,8.82,7.4,42.0,78.5,SOLAR_TOTAL
1,150,13.42,8.76,7.4,42.0,80.4,SOLAR_TOTAL
1,155,13.5,7.71,4.44,41.5,81.5,SOLAR_TOTAL
1,160,13.58,7.27,4.44,41.1,82.6,HIBRIDO_SOLAR_REDE
1,165,13.67,8.3,4.44,40.7,83.7,SOLAR_TOTAL
1,170,13.75,8.45,4.44,40.5,84.9,SOLAR_TOTAL
1,175,13.83,8.28,4.44,40.3,86.0,SOLAR_TOTAL
1,180,13.92,6.88,4.44,40.0,87.1,HIBRIDO_SOLAR_REDE
1,185,14.0,6.75,4.44,39.7,88.2,HIBRIDO_SOLAR_REDE
