id,placa,modelo,capacidade_kwh,soc_inicial,soc_final,hora_inicio,duracao_min,energia_solar_kwh,energia_rede_kwh,energia_total_kwh,percentual_solar,co2_evitado_kg,temp_max_c
1,KPO4C96,JAC E-JS1,30.2,24,100.0,11,240,24.95,0.0,24.95,100.0,2.0,42.2
2,DKC1C72,Chevrolet Bolt,65.0,16,80.0,23,665,13.89,31.33,45.22,30.7,1.11,45.3
3,FPD7A40,JAC E-JS1,30.2,15,100.0,20,525,0.0,27.9,27.9,0.0,0.0,43.1
4,EGC8F79,BYD Dolphin,44.9,14,80.0,10,460,30.53,1.68,32.21,94.8,2.44,45.5
5,OVH0H29,BYD Dolphin Mini,30.1,38,90.0,16,245,4.63,12.39,17.01,27.2,0.37,45.2
6,AKZ6C12,Renault Zoe,52.0,21,90.0,22,665,6.23,32.77,39.0,16.0,0.5,45.2
7,MEL6B23,Nissan Leaf,40.0,5,80.0,2,395,6.77,25.84,32.61,20.8,0.54,40.5
8,AAD6E11,Nissan Leaf,40.0,11,80.0,8,270,26.69,3.31,30.0,89.0,2.14,45.1
9,NWI2C28,JAC E-JS1,30.2,43,80.0,2,200,0.0,12.15,12.15,0.0,0.0,36.1
10,EGX7C90,BYD Dolphin Mini,30.1,20,90.0,9,235,22.16,0.74,22.9,96.8,1.77,45.0
11,ULN9D56,Chevrolet Bolt,65.0,10,90.0,21,800,14.29,42.23,56.52,25.3,1.14,45.3
12,CUS4B62,BYD Dolphin Mini,30.1,10,90.0,13,260,22.46,3.71,26.17,85.8,1.8,45.3
13,NXW5D20,Chevrolet Bolt,65.0,22,90.0,13,570,24.07,23.97,48.04,50.1,1.93,43.5
14,ZTY7A51,BYD Dolphin Mini,30.1,23,90.0,13,330,19.55,2.38,21.92,89.2,1.56,45.6
15,QQY4C87,JAC E-JS1,30.2,8,90.0,14,350,16.51,10.4,26.92,61.3,1.32,45.3
16,HES8H47,BYD Dolphin Mini,30.1,10,90.0,15,430,9.82,16.35,26.17,37.5,0.79,45.9
17,SBK2E14,BYD Dolphin Mini,30.1,31,100.0,13,285,19.61,2.97,22.58,86.9,1.57,45.1
18,OIE6D72,BYD Dolphin Mini,30.1,25,90.0,14,190,15.92,5.35,21.27,74.8,1.27,43.2
19,QGB7H62,Chevrolet Bolt,65.0,33,90.0,3,665,24.67,15.61,40.27,61.2,1.97,45.5
20,NNN5J17,BYD Dolphin,44.9,9,90.0,1,505,10.41,29.12,39.53,26.3,0.83,40.5
21,MWJ0A52,JAC E-JS1,30.2,30,100.0,4,290,7.67,15.31,22.98,33.4,0.61,44.3
22,QDE2J84,Chevrolet Bolt,65.0,15,100.0,1,725,29.03,31.03,60.05,48.3,2.32,41.8
23,OKM6G17,BYD Dolphin Mini,30.1,25,90.0,1,350,0.63,20.64,21.27,3.0,0.05,41.0
24,MJU3F67,Nissan Leaf,40.0,26,100.0,0,495,5.21,26.96,32.17,16.2,0.42,42.3
25,DRQ7B91,BYD Dolphin Mini,30.1,36,90.0,11,160,17.67,0.0,17.67,100.0,1.41,42.1
26,FTJ9C19,Nissan Leaf,40.0,39,100.0,2,390,6.33,20.19,26.52,23.9,0.51,34.5
27,IJE4G55,BYD Dolphin Mini,30.1,6,80.0,7,200,17.1,7.11,24.21,70.6,1.37,41.7
28,ZFG1G52,BYD Dolphin,44.9,5,80.0,3,485,18.27,18.34,36.6,49.9,1.46,45.3
29,AMJ6H36,Chevrolet Bolt,65.0,38,90.0,12,425,27.93,8.81,36.74,76.0,2.23,45.1
30,IOJ8C55,Nissan Leaf,40.0,47,80.0,3,215,0.3,14.05,14.35,2.1,0.02,37.7
31,ORS1H58,Nissan Leaf,40.0,10,90.0,15,445,10.02,24.77,34.78,28.8,0.8,41.9
32,IFQ2C39,BYD Dolphin Mini,30.1,47,100.0,19,350,0.0,17.34,17.34,0.0,0.0,37.7
33,QCB0D52,BYD Dolphin,44.9,10,80.0,0,525,6.97,27.19,34.16,20.4,0.56,45.5
34,WAJ0J32,Nissan Leaf,40.0,36,80.0,5,235,7.47,11.66,19.13,39.0,0.6,45.1
35,EKK2F37,Renault Zoe,52.0,41,80.0,2,310,1.31,20.73,22.04,5.9,0.1,37.8
36,RJG3E84,BYD Dolphin Mini,30.1,21,80.0,17,265,1.24,18.06,19.3,6.4,0.1,40.6
37,GQQ6D25,Renault Zoe,52.0,9,100.0,7,530,44.6,6.83,51.43,86.7,3.57,45.2
38,JBD8D80,JAC E-JS1,30.2,13,80.0,10,180,21.94,0.06,21.99,99.7,1.76,41.3
39,NTP1G11,BYD Dolphin,44.9,37,90.0,5,275,11.25,14.62,25.87,43.5,0.9,42.0
40,AGI9G58,Renault Zoe,52.0,33,90.0,11,290,31.87,0.35,32.22,98.9,2.55,44.2
